blueprint,link,submittedAt,title
"2afc3000-9b27-573c-84c4-61d382ff4d5a","https://xkcd.com/2916/#xt=8&yt=61&v=846","2024-04-11T21:19:36.138166345Z","Airflow"
"18e7a86b-1493-5e51-b8a9-0fb37a0ac27e","https://xkcd.com/2916/#xt=1&yt=47&v=670","2024-04-09T11:40:33.50674078Z","Earth, Fire, Air That was the Four... Wait ..."
"408b0fde-14f0-562c-83af-417309236e3f","https://xkcd.com/2916/#xt=9&yt=28&v=449","2024-04-07T20:39:04.560711852Z","it barely functions but at least we have a ballpit"
"81038597-5ab0-595f-ba14-5f42e2736955","https://xkcd.com/2916/#xt=2&yt=73&v=980","2024-04-15T14:59:24.726206499Z","Truss the process 3.0"
"ea5b6487-3d46-5eca-8280-d69332110485","https://xkcd.com/2916/#xt=6&yt=91&v=1212","2024-04-25T16:51:33.463217204Z","The heist"
"00363138-9917-5346-9ed9-68697b14d00f","https://xkcd.com/2916/#xt=8&yt=90&v=1199","2024-04-25T10:52:31.736850202Z","the chute"
"6d5ca085-6412-58a1-8363-dcd3508d860d","https://xkcd.com/2916/#xt=5&yt=9&v=164","2024-04-06T22:57:30.919172896Z","Over Complication"
"ac4b12a7-ff31-5630-9b73-4d3f555945ad","https://xkcd.com/2916/#xt=7&yt=78&v=1052","2024-04-18T20:05:46.289639893Z","not this way"
"56cccace-f5ba-571d-aa2e-03803b5aaef7","https://xkcd.com/2916/#xt=1&yt=21&v=290","2024-04-07T03:22:14.816158685Z","Angry Claw Beast"
"c1748eb5-c1a2-543c-8fa4-bb8ec86a66a7","https://xkcd.com/2916/#xt=7&yt=5&v=90","2024-04-06T20:47:06.333979193Z","I Ship it"
"d43c1637-edfa-536e-a905-c4e9df6e56d6","https://xkcd.com/2916/#xt=1&yt=53&v=736","2024-04-10T07:44:40.311778373Z","The King's Wisdom"
"98009a4a-ed50-56ee-b5dd-e9e6d8275a18","https://xkcd.com/2916/#xt=0&yt=11&v=105","2024-04-06T21:14:51.59889294Z","sword dodge"
"2b495576-cb42-5814-8411-32c50b822e3c","https://xkcd.com/2916/#xt=7&yt=70&v=957","2024-04-14T10:32:30.13430534Z","deus ex machina"
"818a02e6-098e-53e2-a650-3bfba0ef9a78","https://xkcd.com/2916/#xt=11&yt=30&v=515","2024-04-06T18:33:27.759786474Z","Dispertion"
"192d9d86-a252-5519-8857-a278f192e291","https://xkcd.com/2916/#xt=10&yt=48&v=682","2024-04-09T15:52:00.447583455Z","Autosorter"
"00520ee5-e2c9-5b91-b40c-d5459208f16c","https://xkcd.com/2916/#xt=10&yt=84&v=1129","2024-04-22T23:25:05.776682515Z","The thingamajigger"
"ac5c72cb-cede-5de3-b559-2a0422e23546","https://xkcd.com/2916/#xt=7&yt=30&v=443","2024-04-07T19:47:40.477619167Z","Highway to the"
"d44a04e8-483b-5e19-94f1-bd26003d0943","https://xkcd.com/2916/#xt=5&yt=64&v=878","2024-04-11T22:36:15.991569384Z","Trust but Verify"
"40d52797-d5be-551c-ba78-794d0ef58624","https://xkcd.com/2916/#xt=6&yt=77&v=1041","2024-04-16T19:50:58.852753493Z","RAGE AGAINST"
"981d2201-1788-5680-84f7-6c9da7e7664b","https://xkcd.com/2916/#xt=8&yt=89&v=1186","2024-04-24T10:53:10.72619333Z","green go, yellow slow"
"c1b915e5-144e-54b6-99bc-10e1bc07e1fd","https://xkcd.com/2916/#xt=11&yt=2&v=48","2024-04-06T17:56:49.443808292Z","Wind and Planks"
"ea85b01b-abd2-5ead-bfd8-86b6e2bbd3e2","https://xkcd.com/2916/#xt=10&yt=43&v=613","2024-04-08T21:22:35.960715955Z","knorks 1000"
"56cf53ab-3862-5915-a9a6-38a130c67743","https://xkcd.com/2916/#xt=4&yt=69&v=940","2024-04-13T10:38:57.678974157Z","the machine"
"6d5f03e9-1c9d-5250-b972-c6845ba10899","https://xkcd.com/2916/#xt=3&yt=74&v=999","2024-04-16T03:05:39.993981941Z","XK Escher"
"2b630191-bcd8-5be5-98a9-ca461f6c0be5","https://xkcd.com/2916/#xt=5&yt=38&v=571","2024-04-06T21:53:33.550674956Z","Bonked my Elbow"
"193a2eda-efea-52a8-9a29-45f3624b379e","https://xkcd.com/2916/#xt=3&yt=3&v=33","2024-04-06T17:44:03.429760523Z","Bonks and fans"
